model,objective,fn_fp_cost_ratio,threshold,TP,FN,FP,TN,pr_auc,recall,precision,f1,accuracy
Model A,f1,8.0,0.607530339087342,1816,4703,1820,145698,0.3581 ± 0.0629,0.2871 ± 0.0434,0.6217 ± 0.2220,0.3691 ± 0.0671,0.9577 ± 0.0135
Model B (cnn),f1,8.0,0.599386990070343,2352,4167,237,147281,0.5072 ± 0.0189,0.3613 ± 0.0104,0.9148 ± 0.0812,0.5165 ± 0.0075,0.9714 ± 0.0075
Model B (zonal),f1,8.0,0.5887008468304626,2035,4484,2932,144586,0.3609 ± 0.0637,0.3210 ± 0.0468,0.4690 ± 0.1657,0.3606 ± 0.0560,0.9519 ± 0.0123
Model B (global),f1,8.0,0.6323137679120828,1995,4524,3542,143976,0.3329 ± 0.0522,0.3139 ± 0.0424,0.3958 ± 0.1311,0.3338 ± 0.0466,0.9477 ± 0.0104
Ensemble (average),f1,8.0,0.5969400161666365,2326,4193,177,147341,0.4891 ± 0.0203,0.3582 ± 0.0099,0.9321 ± 0.0760,0.5164 ± 0.0103,0.9716 ± 0.0075
Ensemble (union),f1,8.0,,2443,4076,2012,145506,N/A (decision union),0.3773 ± 0.0116,0.6454 ± 0.2162,0.4562 ± 0.0812,0.9605 ± 0.0141
Model A,cost_weighted,8.0,0.5690903332956938,2134,4385,3627,143891,0.3581 ± 0.0629,0.3375 ± 0.0449,0.4577 ± 0.1816,0.3615 ± 0.0694,0.9481 ± 0.0183
Model B (cnn),cost_weighted,8.0,0.451177567243576,2733,3786,2149,145369,0.5072 ± 0.0189,0.4247 ± 0.0240,0.5651 ± 0.1213,0.4767 ± 0.0306,0.9615 ± 0.0050
Model B (zonal),cost_weighted,8.0,0.5584428552324611,2435,4084,5014,142504,0.3609 ± 0.0637,0.3846 ± 0.0524,0.3710 ± 0.1393,0.3558 ± 0.0586,0.9410 ± 0.0157
Model B (global),cost_weighted,8.0,0.5752217877067469,2699,3820,8109,139409,0.3329 ± 0.0522,0.4244 ± 0.0566,0.2662 ± 0.0857,0.3140 ± 0.0517,0.9226 ± 0.0139
Ensemble (average),cost_weighted,8.0,0.47405180908405253,2614,3905,1541,145977,0.4891 ± 0.0203,0.4062 ± 0.0229,0.6558 ± 0.1649,0.4904 ± 0.0479,0.9647 ± 0.0072
Ensemble (union),cost_weighted,8.0,,2857,3662,5495,142023,N/A (decision union),0.4459 ± 0.0318,0.3932 ± 0.1552,0.3955 ± 0.0837,0.9406 ± 0.0196
