model,bin,mean_predicted_probability,observed_failure_rate,count
Model A,1,0.2004186938562062,0.014736432095559596,15404
Model A,2,0.25036725672607396,0.0192157881069852,15404
Model A,3,0.2808204126686204,0.021424397844575734,15403
Model A,4,0.3068151205815469,0.02233186185406388,15404
Model A,5,0.33176507919954573,0.022007270838743185,15404
Model A,6,0.3574908753154849,0.026553268843731742,15403
Model A,7,0.3851238190139685,0.028369254739028824,15404
Model A,8,0.41794703121897214,0.03661624358891125,15403
Model A,9,0.46247753975799116,0.04706569722150091,15404
Model A,10,0.5705835608891234,0.1848870423266684,15404
Model B (cnn),1,0.06387806627605573,0.005453129057387691,15404
Model B (cnn),2,0.11262574645885784,0.010906258114775382,15404
Model B (cnn),3,0.13254136274594314,0.011750957605661234,15403
Model B (cnn),4,0.14376295880508622,0.013632822643469229,15404
Model B (cnn),5,0.15380802257816006,0.015645286938457542,15404
Model B (cnn),6,0.16446815203871193,0.022073622021684086,15403
Model B (cnn),7,0.17695827831779476,0.029862373409504026,15404
Model B (cnn),8,0.19396899415344912,0.04278387327144063,15403
Model B (cnn),9,0.22797467042040248,0.04972734354713062,15404
Model B (cnn),10,0.43595442406482987,0.22137107244871462,15404
