wafer_id,die_row,die_col,routed_to_model_b,attention_rank,block_start,block_end,attention_weight,mean_signal,max_signal
W_F_0014,1,15,True,1,0,2,1.0,96.95999908447266,98.70999908447266
W_F_0014,1,15,True,2,2,4,6.542044683754966e-12,110.54000091552734,114.61000061035156
W_F_0014,1,15,True,3,4,6,5.18548979456683e-19,111.78500366210938,116.95999908447266
W_F_0014,1,21,True,1,0,2,1.0,107.02499389648438,113.05999755859375
W_F_0014,1,21,True,2,2,4,5.593700233944585e-16,99.98500061035156,100.0
W_F_0014,1,21,True,3,1998,2000,8.065960760921906e-25,95.7750015258789,100.43000030517578
W_F_0014,3,10,True,1,0,2,1.0,89.23500061035156,92.0999984741211
W_F_0014,3,10,True,2,2,4,6.854548937999805e-13,92.11499786376953,93.48999786376953
W_F_0014,3,10,True,3,4,6,5.495891800969191e-18,100.19999694824219,108.0199966430664
W_F_0014,3,13,True,1,0,2,1.0,90.42500305175781,90.47000122070312
W_F_0014,3,13,True,2,2,4,1.59368718222197e-09,112.67500305175781,122.73999786376953
W_F_0014,3,13,True,3,4,6,4.433217301193412e-20,101.5050048828125,110.83000183105469
W_F_0014,4,16,True,1,0,2,1.0,94.04499816894531,99.69999694824219
W_F_0014,4,16,True,2,2,4,5.103729396570278e-13,107.1500015258789,116.1500015258789
W_F_0014,4,16,True,3,4,6,7.774826121823755e-24,97.99500274658203,103.2300033569336
W_F_0014,5,7,True,1,0,2,1.0,94.55999755859375,107.66000366210938
W_F_0014,5,7,True,2,2,4,6.37801037027888e-14,102.72000122070312,115.94000244140625
W_F_0014,5,7,True,3,4,6,6.125390701982081e-23,99.85499572753906,107.63999938964844
W_F_0014,5,13,True,1,0,2,1.0,102.21499633789062,107.79000091552734
W_F_0014,5,13,True,2,2,4,2.1301637720177926e-15,93.16999816894531,96.41999816894531
W_F_0014,5,13,True,3,4,6,8.5078724863604e-21,107.13999938964844,107.23999786376953
W_F_0014,5,14,True,1,0,2,1.0,80.02999877929688,88.70999908447266
W_F_0014,5,14,True,2,2,4,3.3577475652343813e-13,81.66000366210938,89.61000061035156
W_F_0014,5,14,True,3,4,6,2.750853750530449e-19,82.29000091552734,87.97000122070312
W_F_0014,5,18,True,1,0,2,1.0,92.41500091552734,93.91999816894531
W_F_0014,5,18,True,2,2,4,8.749899242654902e-12,104.76499938964844,111.44000244140625
W_F_0014,5,18,True,3,4,6,7.823093762756504e-21,99.8800048828125,106.41000366210938
W_F_0014,5,25,True,1,0,2,1.0,94.0050048828125,109.19000244140625
W_F_0014,5,25,True,2,2,4,3.7332472318596724e-14,103.32499694824219,105.5199966430664
W_F_0014,5,25,True,3,4,6,1.7068062853995073e-19,117.25499725341797,119.19999694824219
W_F_0014,6,21,True,1,0,2,1.0,100.04499816894531,103.61000061035156
W_F_0014,6,21,True,2,2,4,2.7641340517197462e-15,101.15499877929688,108.81999969482422
W_F_0014,6,21,True,3,4,6,2.6990326824946885e-22,101.92500305175781,104.3499984741211
W_F_0014,6,32,True,1,0,2,1.0,104.875,112.16000366210938
W_F_0014,6,32,True,2,2,4,1.5159153839432345e-15,103.95500183105469,107.72000122070312
W_F_0014,6,32,True,3,4,6,1.7023079690582589e-25,85.80999755859375,86.44999694824219
W_F_0014,7,14,True,1,0,2,1.0,106.77999877929688,112.38999938964844
W_F_0014,7,14,True,2,2,4,2.8666112211125645e-16,93.7449951171875,96.16999816894531
W_F_0014,7,14,True,3,4,6,1.326659924822516e-24,83.46499633789062,86.23999786376953
W_F_0014,8,32,True,1,0,2,1.0,98.1199951171875,102.43000030517578
W_F_0014,8,32,True,2,2,4,9.208571202117856e-15,85.4749984741211,86.02999877929688
W_F_0014,8,32,True,3,4,6,2.2734487218174568e-20,93.75499725341797,100.98999786376953
W_F_0014,8,34,True,1,0,2,1.0,93.69999694824219,96.87000274658203
W_F_0014,8,34,True,2,2,4,6.360838505220512e-12,102.90499877929688,114.13999938964844
W_F_0014,8,34,True,3,4,6,9.452664611086544e-21,95.96499633789062,99.94999694824219
W_F_0014,9,22,True,1,0,2,1.0,137.39999389648438,145.67999267578125
W_F_0014,9,22,True,2,2,4,1.227140290960246e-20,106.76499938964844,112.12000274658203
W_F_0014,9,22,True,3,4,6,3.9086785199193884e-26,108.47000122070312,117.1500015258789
W_F_0014,9,24,True,1,0,2,1.0,90.25,91.94999694824219
W_F_0014,9,24,True,2,2,4,1.2124825340791012e-13,99.33999633789062,106.51000213623047
W_F_0014,9,24,True,3,4,6,4.351208663635647e-18,118.16499328613281,123.87999725341797
W_F_0014,10,13,True,1,0,2,1.0,96.03500366210938,97.72000122070312
W_F_0014,10,13,True,2,2,4,6.39778741963301e-17,78.89500427246094,85.08000183105469
W_F_0014,10,13,True,3,4,6,8.011083683604642e-22,92.875,105.13999938964844
W_F_0014,11,12,True,1,0,2,1.0,102.44499969482422,102.58000183105469
